station_name,day_label,fleet_label,n_chargers,metric,fcfs_value,lp_value,delta,pct_change
Tongxiang_Bus Station,high_demand_summer_weekday,s_star_-4,6,tou_cost_yuan,1751.49,1563.23,-188.26,-10.75
Tongxiang_Bus Station,low_demand_winter_weekday,s_star_-4,6,mean_wait_min,0.0,31.145,31.145,0.0
Tongxiang_Bus Station,low_demand_winter_weekday,s_star_-4,6,p_wait_gt_15min,0.0,0.6111,0.6111,0.0
Tongxiang_Bus Station,low_demand_winter_weekday,s_star_-4,6,mean_utilization,0.2377,0.2345,-0.0032,-1.35
Tongxiang_Bus Station,low_demand_winter_weekday,s_star_-4,6,tou_cost_yuan,296.75,238.44,-58.31,-19.65
Tongxiang_Bus Station,rainy_day,s_star_-4,6,mean_wait_min,0.0,14.423,14.423,0.0
Tongxiang_Bus Station,rainy_day,s_star_-4,6,p_wait_gt_15min,0.0,0.4091,0.4091,0.0
Tongxiang_Bus Station,rainy_day,s_star_-4,6,mean_utilization,0.5418,0.5366,-0.0052,-0.96
Tongxiang_Bus Station,rainy_day,s_star_-4,6,tou_cost_yuan,647.42,603.57,-43.85,-6.77
Tongxiang_Bus Station,holiday,s_star_-4,6,mean_wait_min,4.615,57.546,52.931,1146.93
Tongxiang_Bus Station,holiday,s_star_-4,6,p_wait_gt_15min,0.1515,0.9293,0.7778,513.4
Tongxiang_Bus Station,holiday,s_star_-4,6,mean_utilization,0.7973,0.737,-0.0603,-7.56
Tongxiang_Bus Station,holiday,s_star_-4,6,tou_cost_yuan,1430.71,1319.45,-111.26,-7.78
Tongxiang_Bus Station,weekend,s_star_-4,6,mean_wait_min,0.0,19.352,19.352,0.0
Tongxiang_Bus Station,weekend,s_star_-4,6,p_wait_gt_15min,0.0,0.5312,0.5312,0.0
Tongxiang_Bus Station,weekend,s_star_-4,6,mean_utilization,0.4854,0.4787,-0.0067,-1.38
Tongxiang_Bus Station,weekend,s_star_-4,6,tou_cost_yuan,936.4,878.39,-58.01,-6.2
