station,n_chargers,faults,replication,seed,mean_utilization,mean_wait,p_wait_gt_10min,p_wait_gt_15min,throughput_per_hour,n_sessions,fault_fraction,drain_cap_hit
Nanhu_Technology Park,4,off,16,58,0.39536839099950644,2.7696174434964607,0.07369323050556983,0.06341045415595545,1.6208333333333333,1167,0.0,False
Nanhu_Technology Park,4,off,17,59,0.41052442059458044,5.037160064015075,0.11063829787234042,0.09787234042553192,1.6319444444444444,1175,0.0,False
Nanhu_Technology Park,4,off,18,60,0.35989739372926244,3.085726321069436,0.060891938250428816,0.048027444253859346,1.6194444444444445,1166,0.0,False
Nanhu_Technology Park,4,off,19,61,0.3930643502174449,2.425175384829665,0.08797909407665505,0.06184668989547038,1.5944444444444446,1148,0.0,False
Nanhu_Technology Park,4,off,20,62,0.4135769980032409,9.029224613070598,0.1325,0.115,1.6666666666666667,1200,0.0,False
Nanhu_Technology Park,4,off,21,63,0.3628887613146785,9.106327488749427,0.1404821280133001,0.12219451371571072,1.6708333333333334,1203,0.0,False
Nanhu_Technology Park,4,off,22,64,0.4057937994629174,3.831788784722998,0.10187449062754686,0.08394458027709861,1.7041666666666666,1227,0.0,False
Nanhu_Technology Park,4,off,23,65,0.40829527938319793,8.374903327309665,0.15766923736075408,0.1319622964867181,1.6208333333333333,1167,0.0,False
Nanhu_Technology Park,4,off,24,66,0.3993205236758658,4.557449620235715,0.1038961038961039,0.08225108225108226,1.6041666666666667,1155,0.0,False
Nanhu_Technology Park,4,off,25,67,0.4187364910912614,6.468608420459211,0.1447587354409318,0.12479201331114809,1.6694444444444445,1202,0.0,False
Nanhu_Technology Park,4,off,26,68,0.4306188555304814,7.67444572755383,0.1343906510851419,0.11101836393989983,1.663888888888889,1198,0.0,False
Nanhu_Technology Park,4,off,27,69,0.3683435742561913,7.828681268516339,0.1106233538191396,0.09657594381035997,1.5819444444444444,1139,0.0,False
Nanhu_Technology Park,4,off,28,70,0.3769745374607435,1.962817253256138,0.06578947368421052,0.05098684210526316,1.6888888888888889,1216,0.0,False
Nanhu_Technology Park,4,off,29,71,0.41912820961445507,12.349799578325118,0.14129520605550883,0.1261564339781329,1.6513888888888888,1189,0.0,False
Nanhu_Technology Park,4,off,30,72,0.36531179215171694,4.595602574365372,0.08717948717948718,0.07179487179487179,1.625,1170,0.0,False
Nanhu_Technology Park,4,off,31,73,0.39584725477044447,7.944819376800122,0.1274426508071368,0.11554800339847068,1.6347222222222222,1177,0.0,False
Nanhu_Technology Park,4,off,32,74,0.39094626466048005,4.371883567492694,0.10945273631840796,0.08623548922056384,1.675,1206,0.0,False
Nanhu_Technology Park,4,off,33,75,0.4336691350538223,10.599403918724065,0.14827018121911037,0.12520593080724876,1.6861111111111111,1214,0.0,False
Nanhu_Technology Park,4,off,34,76,0.39170308005167365,4.243246669967542,0.10671256454388985,0.09466437177280551,1.613888888888889,1162,0.0,False
Nanhu_Technology Park,4,off,35,77,0.39945050098282814,5.410166621577643,0.12773109243697478,0.1092436974789916,1.6527777777777777,1190,0.0,False
Nanhu_Technology Park,4,off,36,78,0.36158696737348583,4.827433366089361,0.12310286677908938,0.09274873524451939,1.6472222222222221,1186,0.0,False
Nanhu_Technology Park,4,off,37,79,0.3920261228851568,4.273898147446655,0.12147134302822926,0.09751924721984602,1.6236111111111111,1169,0.0,False
Nanhu_Technology Park,4,off,38,80,0.38927813344177087,4.76995861778188,0.13764510779436154,0.11359867330016583,1.675,1206,0.0,False
Nanhu_Technology Park,4,off,39,81,0.41384812597727955,9.041594302698268,0.18518518518518517,0.15619967793880837,1.725,1242,0.0,False
Nanhu_Technology Park,4,off,40,82,0.40943115051973394,5.901903538157326,0.12003530450132392,0.11120917917034422,1.573611111111111,1133,0.0,False
Nanhu_Technology Park,4,off,41,83,0.3887304871388426,6.059364176697633,0.13861386138613863,0.11791179117911792,1.5430555555555556,1111,0.0,False
Nanhu_Technology Park,4,off,42,84,0.39009936245511906,6.140823070813536,0.125,0.10666666666666667,1.6666666666666667,1200,0.0,False
Nanhu_Technology Park,4,off,43,85,0.3999097277587402,9.28173117787849,0.14224137931034483,0.13017241379310346,1.6111111111111112,1160,0.0,False
Nanhu_Technology Park,4,off,44,86,0.3478873273732594,2.0422272138319744,0.0673076923076923,0.05332167832167832,1.5888888888888888,1144,0.0,False
Nanhu_Technology Park,4,off,45,87,0.37493976176315613,3.426810833939148,0.10043668122270742,0.08122270742358079,1.5902777777777777,1145,0.0,False
Nanhu_Technology Park,4,off,46,88,0.38644933290952815,4.454690185060922,0.12755102040816327,0.1054421768707483,1.6333333333333333,1176,0.0,False
Nanhu_Technology Park,4,off,47,89,0.3898439627414238,10.73281586592795,0.15823817292006526,0.14110929853181076,1.7027777777777777,1226,0.0,False
Nanhu_Technology Park,4,off,48,90,0.41014068689047867,6.776515253877392,0.13915298184961106,0.11495246326707001,1.6069444444444445,1157,0.0,False
Nanhu_Technology Park,4,off,49,91,0.43717759536563383,10.048339989034865,0.1658878504672897,0.13707165109034267,1.7833333333333334,1284,0.0,False
Nanhu_Technology Park,6,off,0,42,0.25463379492207344,0.11325069647859884,0.005008347245409015,0.0008347245409015025,1.663888888888889,1198,0.0,False
Nanhu_Technology Park,6,off,1,43,0.27539743022208896,0.34801724252418803,0.010998307952622674,0.007614213197969543,1.6416666666666666,1182,0.0,False
Nanhu_Technology Park,6,off,2,44,0.25482922029782035,0.17631593051236788,0.005877413937867338,0.0025188916876574307,1.6541666666666666,1191,0.0,False
Nanhu_Technology Park,6,off,3,45,0.26836135862941485,0.10489684314258259,0.00645682001614205,0.0016142050040355124,1.7208333333333334,1239,0.0,False
Nanhu_Technology Park,6,off,4,46,0.2664926111181755,0.12074503515366282,0.005818786367414797,0.004156275976724855,1.6708333333333334,1203,0.0,False
Nanhu_Technology Park,6,off,5,47,0.2618091335749122,0.06076128401012954,0.0016835016835016834,0.0008417508417508417,1.65,1188,0.0,False
Nanhu_Technology Park,6,off,6,48,0.26231031341692596,0.08380151844133142,0.002617801047120419,0.0008726003490401396,1.5916666666666666,1146,0.0,False
Nanhu_Technology Park,6,off,7,49,0.28740183065030567,1.3605266956442872,0.020627062706270627,0.018151815181518153,1.6833333333333333,1212,0.0,False
Nanhu_Technology Park,6,off,8,50,0.24809093489131562,0.09606232379021463,0.004456327985739751,0.0017825311942959,1.5583333333333333,1122,0.0,False
Nanhu_Technology Park,6,off,9,51,0.25655734289073107,0.2521454919729886,0.009852216748768473,0.005747126436781609,1.6916666666666667,1218,0.0,False
Nanhu_Technology Park,6,off,10,52,0.24171939844508103,0.4623373156294708,0.014146772767462422,0.009725906277630416,1.5708333333333333,1131,0.0,False
Nanhu_Technology Park,6,off,11,53,0.28122101581170145,0.7776294829532023,0.028122415219189414,0.021505376344086023,1.6791666666666667,1209,0.0,False
Nanhu_Technology Park,6,off,12,54,0.26572840379788115,0.051903537460373794,0.0016877637130801688,0.0,1.6458333333333333,1185,0.0,False
Nanhu_Technology Park,6,off,13,55,0.26570275073541616,0.1400362228222328,0.005718954248366013,0.004084967320261438,1.7,1224,0.0,False
Nanhu_Technology Park,6,off,14,56,0.2668679478025054,0.3990610237696912,0.016170212765957447,0.011914893617021277,1.6319444444444444,1175,0.0,False
Nanhu_Technology Park,6,off,15,57,0.2513138502918913,0.04791841131620638,0.00176522506619594,0.00088261253309797,1.573611111111111,1133,0.0,False
Nanhu_Technology Park,6,off,16,58,0.2635789273330044,0.09869344118004128,0.002570694087403599,0.001713796058269066,1.6208333333333333,1167,0.0,False
Nanhu_Technology Park,6,off,17,59,0.2737051421534468,0.17676715721268804,0.005106382978723404,0.005106382978723404,1.6319444444444444,1175,0.0,False
Nanhu_Technology Park,6,off,18,60,0.23993159581950824,0.2937143557932574,0.00686106346483705,0.00686106346483705,1.6194444444444445,1166,0.0,False
Nanhu_Technology Park,6,off,19,61,0.2621559313359365,0.10374444265427649,0.005226480836236934,0.0017421602787456446,1.5944444444444446,1148,0.0,False
