station,n_chargers,faults,replication,seed,mean_utilization,mean_wait,p_wait_gt_10min,p_wait_gt_15min,throughput_per_hour,n_sessions,fault_fraction,drain_cap_hit
Nanhu_Technology Park,6,on,44,86,0.2700054492765466,0.26783601988540795,0.008741258741258742,0.005244755244755245,1.5888888888888888,1144,0.14248251748251747,False
Nanhu_Technology Park,6,on,45,87,0.2907311865124901,0.19069087593815745,0.005240174672489083,0.0034934497816593887,1.5902777777777777,1145,0.16506550218340613,False
Nanhu_Technology Park,6,on,46,88,0.3030135855642324,0.38807160678598523,0.013605442176870748,0.006802721088435374,1.6333333333333333,1176,0.17346938775510204,False
Nanhu_Technology Park,6,on,47,89,0.2976960014580044,1.2870951965246418,0.0399673735725938,0.02936378466557912,1.7027777777777777,1226,0.1533442088091354,False
Nanhu_Technology Park,6,on,48,90,0.31692333877617657,0.5317897801981204,0.015557476231633534,0.01296456352636128,1.6055555555555556,1157,0.16421780466724287,False
Nanhu_Technology Park,6,on,49,91,0.3312685039175823,0.7717151252996782,0.03115264797507788,0.02336448598130841,1.7833333333333334,1284,0.1440809968847352,False
Nanhu_Technology Park,8,on,0,42,0.2171864063925802,0.0,0.0,0.0,1.663888888888889,1198,0.14607679465776294,False
Nanhu_Technology Park,8,on,1,43,0.23622417244137703,0.059504134015947605,0.00338409475465313,0.001692047377326565,1.6388888888888888,1182,0.15905245346869712,False
Nanhu_Technology Park,8,on,2,44,0.2267719060346479,0.06420546003609123,0.0016792611251049538,0.0016792611251049538,1.6541666666666666,1191,0.16792611251049538,False
Nanhu_Technology Park,8,on,3,45,0.23220194441891273,0.0,0.0,0.0,1.7194444444444446,1239,0.1606133979015335,False
Nanhu_Technology Park,8,on,4,46,0.23152798760043247,0.0,0.0,0.0,1.6694444444444445,1203,0.17040731504571904,False
Nanhu_Technology Park,8,on,5,47,0.22446576709694774,0.0079390351657371,0.0,0.0,1.65,1188,0.16582491582491582,False
Nanhu_Technology Park,8,on,6,48,0.23377316747019608,0.0,0.0,0.0,1.5902777777777777,1146,0.17452006980802792,False
Nanhu_Technology Park,8,on,7,49,0.2476600026175986,0.19980044623555995,0.0049504950495049506,0.0049504950495049506,1.6833333333333333,1212,0.16006600660066006,False
Nanhu_Technology Park,8,on,8,50,0.21320245655717573,0.00804862390586502,0.0,0.0,1.5583333333333333,1122,0.1586452762923351,False
Nanhu_Technology Park,8,on,9,51,0.21924172792390664,0.054763182733242204,0.0016420361247947454,0.0008210180623973727,1.6916666666666667,1218,0.1510673234811166,False
Nanhu_Technology Park,8,on,10,52,0.20965934596535804,0.13195198785859805,0.005305039787798408,0.0035366931918656055,1.5694444444444444,1131,0.14677276746242263,False
Nanhu_Technology Park,8,on,11,53,0.24403038911499259,0.06448218479609796,0.0033085194375516956,0.0008271298593879239,1.676388888888889,1209,0.1662531017369727,False
Nanhu_Technology Park,8,on,12,54,0.22870134071156026,0.0,0.0,0.0,1.6458333333333333,1185,0.1569620253164557,False
Nanhu_Technology Park,8,on,13,55,0.22853890050910777,0.013381513073930252,0.0008169934640522876,0.0,1.7,1224,0.1503267973856209,False
Nanhu_Technology Park,8,on,14,56,0.22944929285312052,0.04475617146559129,0.000851063829787234,0.0,1.6305555555555555,1175,0.14893617021276595,False
Nanhu_Technology Park,8,on,15,57,0.21729056298308555,0.0,0.0,0.0,1.573611111111111,1133,0.1588702559576346,False
Nanhu_Technology Park,8,on,16,58,0.22645932477685476,0.0,0.0,0.0,1.6208333333333333,1167,0.15167095115681234,False
Nanhu_Technology Park,8,on,17,59,0.2316145919460257,0.014461692838998947,0.0,0.0,1.6319444444444444,1175,0.15319148936170213,False
Nanhu_Technology Park,8,on,18,60,0.21064443015696388,0.018387341081505186,0.0,0.0,1.6166666666666667,1166,0.1569468267581475,False
Nanhu_Technology Park,8,on,19,61,0.22485698586716055,0.0,0.0,0.0,1.5944444444444446,1148,0.15418118466898956,False
Nanhu_Technology Park,8,on,20,62,0.23627501685321026,0.04412093042692201,0.0025,0.0008333333333333334,1.6666666666666667,1200,0.15,False
Nanhu_Technology Park,8,on,21,63,0.20857928137754256,0.048581616959759044,0.0016625103906899418,0.0008312551953449709,1.6708333333333334,1203,0.14546965918536992,False
Nanhu_Technology Park,8,on,22,64,0.23298518177079056,0.02486341427073668,0.0008149959250203749,0.0,1.7027777777777777,1227,0.14425427872860636,False
Nanhu_Technology Park,8,on,23,65,0.2356589728457892,0.1547313957113566,0.006855184233076264,0.003427592116538132,1.6208333333333333,1167,0.15424164524421594,False
Nanhu_Technology Park,8,on,24,66,0.22625277982826109,0.050588791366733075,0.0017316017316017316,0.0008658008658008658,1.6041666666666667,1155,0.14372294372294372,False
Nanhu_Technology Park,8,on,25,67,0.23546456418290518,0.023298887792737085,0.0008319467554076539,0.0,1.6694444444444445,1202,0.14226289517470883,False
Nanhu_Technology Park,8,on,26,68,0.24519091424045558,0.08312434527934162,0.004173622704507512,0.0025041736227045075,1.663888888888889,1198,0.169449081803005,False
Nanhu_Technology Park,8,on,27,69,0.21153617889224507,0.07223418886382456,0.0026338893766461808,0.001755926251097454,1.5805555555555555,1139,0.16681299385425813,False
Nanhu_Technology Park,8,on,28,70,0.21712418895413513,0.0,0.0,0.0,1.6888888888888889,1216,0.15049342105263158,False
Nanhu_Technology Park,8,on,29,71,0.24130015847830927,0.03339516765615079,0.0008410428931875525,0.0008410428931875525,1.6513888888888888,1189,0.16232127838519764,False
Nanhu_Technology Park,8,on,30,72,0.2022822189771902,0.017381080885074607,0.0008547008547008547,0.0,1.625,1170,0.12222222222222222,False
Nanhu_Technology Park,8,on,31,73,0.22323136511196995,0.03675746439532541,0.0008496176720475786,0.0,1.6333333333333333,1177,0.15123194562446898,False
Nanhu_Technology Park,8,on,32,74,0.22251573052979018,0.10430093992771848,0.0024875621890547263,0.0024875621890547263,1.675,1206,0.13930348258706468,False
Nanhu_Technology Park,8,on,33,75,0.24380280768453472,0.12481890754523797,0.005766062602965404,0.004118616144975288,1.6847222222222222,1214,0.15403624382207579,False
Nanhu_Technology Park,8,on,34,76,0.22022741113481129,0.006828614541836394,0.0,0.0,1.613888888888889,1162,0.1514629948364888,False
Nanhu_Technology Park,8,on,35,77,0.22947713450194446,0.13863436129765333,0.0067226890756302525,0.0058823529411764705,1.6527777777777777,1190,0.1638655462184874,False
Nanhu_Technology Park,8,on,36,78,0.20568237925876534,0.06698994156171922,0.002529510961214165,0.002529510961214165,1.6472222222222221,1186,0.14249578414839797,False
Nanhu_Technology Park,8,on,37,79,0.22900012053266167,0.032090774623777366,0.001710863986313088,0.0,1.6236111111111111,1169,0.17621899059024806,False
Nanhu_Technology Park,8,on,38,80,0.22635608009134814,0.021678478498022735,0.0,0.0,1.675,1206,0.16583747927031509,False
Nanhu_Technology Park,8,on,39,81,0.2372501981029811,0.018571920618125362,0.0,0.0,1.725,1242,0.1529790660225443,False
Nanhu_Technology Park,8,on,40,82,0.23201727647370532,0.009555426292185346,0.0,0.0,1.5708333333333333,1133,0.15710503089143865,False
Nanhu_Technology Park,8,on,41,83,0.22286676656441445,0.010656663582357406,0.0009000900090009,0.0,1.5430555555555556,1111,0.15841584158415842,False
Nanhu_Technology Park,8,on,42,84,0.22344086850307754,0.2286280603709565,0.01,0.008333333333333333,1.6652777777777779,1200,0.16583333333333333,False
Nanhu_Technology Park,8,on,43,85,0.22787381343469887,0.051356682553134685,0.002586206896551724,0.0,1.6097222222222223,1160,0.16120689655172413,False
Nanhu_Technology Park,8,on,44,86,0.20250408695741043,0.0,0.0,0.0,1.5888888888888888,1144,0.14248251748251747,False
Nanhu_Technology Park,8,on,45,87,0.21804838988436692,0.0,0.0,0.0,1.5902777777777777,1145,0.16506550218340613,False
Nanhu_Technology Park,8,on,46,88,0.2272568330993054,0.000604628497172462,0.0,0.0,1.6333333333333333,1176,0.17346938775510204,False
Nanhu_Technology Park,8,on,47,89,0.22327200109350234,0.10221017106214811,0.004078303425774877,0.0016313213703099511,1.7027777777777777,1226,0.1533442088091354,False
Nanhu_Technology Park,8,on,48,90,0.2377152383378986,0.01659323762509878,0.000864304235090752,0.000864304235090752,1.6055555555555556,1157,0.16421780466724287,False
Nanhu_Technology Park,8,on,49,91,0.24848407726746255,0.025893986538949178,0.000778816199376947,0.0,1.7833333333333334,1284,0.1440809968847352,False
Nanhu_Technology Park,10,on,0,42,0.17374912511406415,0.0,0.0,0.0,1.663888888888889,1198,0.14607679465776294,False
Nanhu_Technology Park,10,on,1,43,0.18897933795310132,0.0,0.0,0.0,1.6388888888888888,1182,0.15905245346869712,False
Nanhu_Technology Park,10,on,2,44,0.18141752482771828,0.0,0.0,0.0,1.6541666666666666,1191,0.16792611251049538,False
Nanhu_Technology Park,10,on,3,45,0.18576155553512985,0.0,0.0,0.0,1.7194444444444446,1239,0.1606133979015335,False
Nanhu_Technology Park,10,on,4,46,0.1852223900803461,0.0,0.0,0.0,1.6694444444444445,1203,0.17040731504571904,False
Nanhu_Technology Park,10,on,5,47,0.1795726136775581,0.0,0.0,0.0,1.65,1188,0.16582491582491582,False
Nanhu_Technology Park,10,on,6,48,0.1870097776424111,0.0,0.0,0.0,1.5902777777777777,1146,0.17452006980802792,False
Nanhu_Technology Park,10,on,7,49,0.19812800209407902,0.01110624196627985,0.0,0.0,1.6833333333333333,1212,0.16006600660066006,False
Nanhu_Technology Park,10,on,8,50,0.17056196524574052,0.0,0.0,0.0,1.5583333333333333,1122,0.1586452762923351,False
Nanhu_Technology Park,10,on,9,51,0.1753933823391254,0.002961131482331479,0.0,0.0,1.6916666666666667,1218,0.1510673234811166,False
Nanhu_Technology Park,10,on,10,52,0.1677274767722863,0.01210036719111993,0.0008841732979664014,0.0,1.5694444444444444,1131,0.14677276746242263,False
Nanhu_Technology Park,10,on,11,53,0.19522431129199413,0.0,0.0,0.0,1.676388888888889,1209,0.1662531017369727,False
Nanhu_Technology Park,10,on,12,54,0.18296107256924848,0.0,0.0,0.0,1.6458333333333333,1185,0.1569620253164557,False
Nanhu_Technology Park,10,on,13,55,0.18283112040728558,0.0,0.0,0.0,1.7,1224,0.1503267973856209,False
Nanhu_Technology Park,10,on,14,56,0.18355943428249674,0.0,0.0,0.0,1.6305555555555555,1175,0.14893617021276595,False
Nanhu_Technology Park,10,on,15,57,0.17383245038646866,0.0,0.0,0.0,1.573611111111111,1133,0.1588702559576346,False
Nanhu_Technology Park,10,on,16,58,0.18116745982148377,0.0,0.0,0.0,1.6208333333333333,1167,0.15167095115681234,False
Nanhu_Technology Park,10,on,17,59,0.1852916735568205,0.0,0.0,0.0,1.6319444444444444,1175,0.15319148936170213,False
Nanhu_Technology Park,10,on,18,60,0.1685155441255711,0.0,0.0,0.0,1.6166666666666667,1166,0.1569468267581475,False
Nanhu_Technology Park,10,on,19,61,0.1798855886937288,0.0,0.0,0.0,1.5944444444444446,1148,0.15418118466898956,False
Nanhu_Technology Park,10,on,20,62,0.1890200134825683,0.0,0.0,0.0,1.6666666666666667,1200,0.15,False
Nanhu_Technology Park,10,on,21,63,0.16686342510203425,0.0009347536329599311,0.0,0.0,1.6708333333333334,1203,0.14546965918536992,False
Nanhu_Technology Park,10,on,22,64,0.18638814541663248,0.0,0.0,0.0,1.7027777777777777,1227,0.14425427872860636,False
Nanhu_Technology Park,10,on,23,65,0.1885271782766315,0.0,0.0,0.0,1.6208333333333333,1167,0.15424164524421594,False
Nanhu_Technology Park,10,on,24,66,0.18100222386260906,0.0,0.0,0.0,1.6041666666666667,1155,0.14372294372294372,False
Nanhu_Technology Park,10,on,25,67,0.18837165134632405,0.0,0.0,0.0,1.6694444444444445,1202,0.14226289517470883,False
Nanhu_Technology Park,10,on,26,68,0.19615273139236547,0.0004899709080938938,0.0,0.0,1.663888888888889,1198,0.169449081803005,False
Nanhu_Technology Park,10,on,27,69,0.16922894311379624,0.0,0.0,0.0,1.5805555555555555,1139,0.16681299385425813,False
Nanhu_Technology Park,10,on,28,70,0.17369935116330776,0.0,0.0,0.0,1.6888888888888889,1216,0.15049342105263158,False
Nanhu_Technology Park,10,on,29,71,0.19304012678264768,0.0,0.0,0.0,1.6513888888888888,1189,0.16232127838519764,False
Nanhu_Technology Park,10,on,30,72,0.16182577518175237,0.0,0.0,0.0,1.625,1170,0.12222222222222222,False
Nanhu_Technology Park,10,on,31,73,0.1785850920895763,0.0,0.0,0.0,1.6333333333333333,1177,0.15123194562446898,False
Nanhu_Technology Park,10,on,32,74,0.1780125844238323,0.0123926899420815,0.0008291873963515755,0.0,1.675,1206,0.13930348258706468,False
Nanhu_Technology Park,10,on,33,75,0.1950422461476278,0.0,0.0,0.0,1.6847222222222222,1214,0.15403624382207579,False
Nanhu_Technology Park,10,on,34,76,0.17618192890784884,0.0,0.0,0.0,1.613888888888889,1162,0.1514629948364888,False
Nanhu_Technology Park,10,on,35,77,0.18358170760155565,0.013003945832558409,0.0008403361344537816,0.0,1.6527777777777777,1190,0.1638655462184874,False
Nanhu_Technology Park,10,on,36,78,0.16454590340701247,0.0,0.0,0.0,1.6472222222222221,1186,0.14249578414839797,False
