station,n_chargers,faults,mean_utilization_mean,mean_utilization_std,mean_utilization_ci95,mean_wait_mean,mean_wait_std,mean_wait_ci95,median_wait_mean,median_wait_std,median_wait_ci95,p95_wait_mean,p95_wait_std,p95_wait_ci95,p_wait_gt_10min_mean,p_wait_gt_10min_std,p_wait_gt_10min_ci95,p_wait_gt_15min_mean,p_wait_gt_15min_std,p_wait_gt_15min_ci95,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_ci95,n_sessions_mean,n_sessions_std,n_sessions_ci95,fault_fraction_mean,fault_fraction_std,fault_fraction_ci95,p_wait_gt_15min_upper95
Xiuzhou_Government Agency,2,off,0.9925499065834973,0.014707850911906342,0.004118198255333776,2463.7474958873045,1199.8613427454222,335.9611759687183,2401.042566569932,1227.7773878935286,343.77766861018796,4139.129149193928,1735.8448360725322,486.036554100309,0.9910599645133132,0.017856353456161107,0.004999778967725109,0.9900817687161606,0.01965487171229687,0.005503364079443124,1.9751388888888888,0.08350826546656669,0.023382314330638667,1422.1,60.12595113592799,16.835266318059837,0.0,0.0,0.0,0.9955851327956037
Xiuzhou_Government Agency,4,off,0.5294632369125762,0.025824493543219338,0.0072308581921014135,20.589221138850206,6.559115798485256,1.836552423575872,0.0,0.0,0.0,119.40991798035668,38.05834422285834,10.656336382400333,0.29716257319962436,0.04247172908318252,0.011892084143291105,0.2651382935852652,0.04267470124693063,0.011948916349140574,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.2770872099344058
Xiuzhou_Government Agency,6,off,0.3530233604652576,0.017192480728338642,0.00481389460393482,1.5066844799859647,0.7723455506832871,0.2162567541913204,0.0,0.0,0.0,7.807107995036052,5.530526965710361,1.5485475503989008,0.043664686335260466,0.015819352617770403,0.004429418732975713,0.03225910943597653,0.013697028204879771,0.003835167897366336,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.03609427733334286
Xiuzhou_Government Agency,8,off,0.2647730332109117,0.01289529275601308,0.003610681971683662,0.11753752098409288,0.09633640834106232,0.02697419433549745,0.0,0.0,0.0,0.0,0.0,0.0,0.004207573905368476,0.0034931578889027598,0.0009780842088927728,0.002623679521542966,0.0026906922455693706,0.0007533938287594238,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0033770733503023895
Xiuzhou_Government Agency,10,off,0.21181842656872937,0.010316234204810489,0.0028885455773469365,0.008709826241701938,0.016667296185407226,0.004666842931914023,0.0,0.0,0.0,0.0,0.0,0.0,0.0003191321192058592,0.0006765514610833447,0.0001894344091033365,0.00017206201013193742,0.0005066229824983532,0.00014185443509953885,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0003139164452314763
Xiuzhou_Government Agency,12,off,0.17651535547394107,0.008596861837342045,0.002407121314455772,0.0008746452845155453,0.003127244973839581,0.0008756285926750827,0.0,0.0,0.0,0.0,0.0,0.0,2.623874591014628e-05,0.00012854469830409488,3.599251552514656e-05,1.3054830287206266e-05,9.138381201044387e-05,2.558746736292428e-05,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,3.864229765013054e-05
Xiuzhou_Government Agency,14,off,0.15129887612052095,0.0073687387177218,0.0020632468409621037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
Xiuzhou_Government Agency,16,off,0.13238651660545586,0.00644764637800654,0.0018053409858418312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
Xiuzhou_Government Agency,18,off,0.11767690364929413,0.005731241224894655,0.0016047475429705033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
Xiuzhou_Government Agency,20,off,0.1059092132843647,0.005158117102405244,0.0014442727886734682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
