station,fault_rate,n_chargers,mean_utilization,p_wait_gt_15min,mean_wait
Xiuzhou_Government Agency,0.15,6,0.39514581578101277,0.05895593603230373,2.887065668935028
Xiuzhou_Government Agency,0.15,8,0.29638396837536596,0.005727085475198266,0.25650331475437055
Xiuzhou_Government Agency,0.15,10,0.23710740439631942,0.000488966007262304,0.02179777701368379
Xiuzhou_Government Agency,0.15,12,0.19758950366359937,3.9422661533086295e-05,0.0020545091101445913
Xiuzhou_Government Agency,0.15,14,0.16936243171165663,0.0,5.895853432984901e-05
Xiuzhou_Government Agency,0.15,16,0.14819212774769958,0.0,0.0
Xiuzhou_Government Agency,0.15,18,0.131726335775733,0.0,0.0
Xiuzhou_Government Agency,0.15,20,0.11855370219815971,0.0,0.0
Xiuzhou_Government Agency,0.15,22,0.10777609290741791,0.0,0.0
Xiuzhou_Government Agency,0.15,24,0.09879475183179968,0.0,0.0
Xiuzhou_Government Agency,0.15,26,0.09119515553704591,0.0,0.0
Xiuzhou_Government Agency,0.15,28,0.08468121585582832,0.0,0.0
Xiuzhou_Government Agency,0.15,30,0.07903580146543981,0.0,0.0
Xiuzhou_Government Agency,0.2,2,0.9999281178008158,0.9997891321978913,6292.714485230323
Xiuzhou_Government Agency,0.2,4,0.6181952340330692,0.4143114930285746,40.853095921884815
Xiuzhou_Government Agency,0.2,6,0.41204254609846463,0.07314820511771977,3.639606317544816
Xiuzhou_Government Agency,0.2,8,0.3090638334059084,0.007619446763621284,0.33490796364555947
Xiuzhou_Government Agency,0.2,10,0.2472513015545157,0.0005677278650671535,0.027485973236507602
Xiuzhou_Government Agency,0.2,12,0.20604275129542957,3.9422661533086295e-05,0.0024609477665208683
Xiuzhou_Government Agency,0.2,14,0.17660807253893968,0.0,5.895853432984901e-05
Xiuzhou_Government Agency,0.2,16,0.15453206347157228,0.0,0.0
Xiuzhou_Government Agency,0.2,18,0.1373618341969532,0.0,0.0
Xiuzhou_Government Agency,0.2,20,0.12362565077725785,0.0,0.0
Xiuzhou_Government Agency,0.2,22,0.11238695525205256,0.0,0.0
Xiuzhou_Government Agency,0.2,24,0.10302137564771478,0.0,0.0
Xiuzhou_Government Agency,0.2,26,0.0950966544440445,0.0,0.0
Xiuzhou_Government Agency,0.2,28,0.08830403626946984,0.0,0.0
Xiuzhou_Government Agency,0.2,30,0.0824171005181719,0.0,0.0
Xiuzhou_Government Agency,0.25,2,1.0,1.0,7408.868846719606
Xiuzhou_Government Agency,0.25,4,0.6481540086180562,0.46392446122843056,49.6999899124655
Xiuzhou_Government Agency,0.25,6,0.43196478377879893,0.09138902019431087,4.709666681218635
Xiuzhou_Government Agency,0.25,8,0.32400553540635635,0.010313555129758688,0.4478011764714273
Xiuzhou_Government Agency,0.25,10,0.2592055370449201,0.0008327604836970134,0.03849806044205286
Xiuzhou_Government Agency,0.25,12,0.21600461420410003,5.260657715602631e-05,0.0033422205898347946
Xiuzhou_Government Agency,0.25,14,0.1851468121749429,1.3183915622940012e-05,0.0004040199647288302
Xiuzhou_Government Agency,0.25,16,0.16200346065307503,0.0,0.0
Xiuzhou_Government Agency,0.25,18,0.14400307613606678,0.0,0.0
Xiuzhou_Government Agency,0.25,20,0.12960276852246005,0.0,0.0
Xiuzhou_Government Agency,0.25,22,0.11782069865678188,0.0,0.0
Xiuzhou_Government Agency,0.25,24,0.10800230710205001,0.0,0.0
Xiuzhou_Government Agency,0.25,26,0.09969443732496928,0.0,0.0
Xiuzhou_Government Agency,0.25,28,0.09257340608747144,0.0,0.0
Xiuzhou_Government Agency,0.25,30,0.08640184568164004,0.0,0.0
Xiuzhou_Government Agency,0.3,2,1.0,1.0,8546.634807106937
