station,n_chargers,metric_family,metric_name,rho_peak_hour,mms_p_wait_gt_15_peak_hour,note
Xiuzhou_Government Agency,30,analytical_peak_hour_mms,p_wait_gt_15min,0.12710918512226135,7.898120853822938e-23,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,8,analytical_peak_hour_mms,p_wait_gt_15min,0.7571980904360056,0.1515329610428343,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,10,analytical_peak_hour_mms,p_wait_gt_15min,0.6057584723488046,0.017355373795646205,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,12,analytical_peak_hour_mms,p_wait_gt_15min,0.5047987269573371,0.0015572365662099308,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,14,analytical_peak_hour_mms,p_wait_gt_15min,0.4326846231062889,0.00010938604571395697,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,16,analytical_peak_hour_mms,p_wait_gt_15min,0.3785990452180028,6.081609252813585e-06,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,18,analytical_peak_hour_mms,p_wait_gt_15min,0.33653248463822477,2.7199334980750326e-07,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,20,analytical_peak_hour_mms,p_wait_gt_15min,0.3028792361744023,9.9537037363011e-09,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,22,analytical_peak_hour_mms,p_wait_gt_15min,0.27534476015854753,3.028424869636479e-10,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,24,analytical_peak_hour_mms,p_wait_gt_15min,0.25239936347866854,7.770284586984751e-12,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,26,analytical_peak_hour_mms,p_wait_gt_15min,0.2329840278264633,1.7024965634176945e-13,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,28,analytical_peak_hour_mms,p_wait_gt_15min,0.21634231155314446,3.2206229086334864e-15,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
Tongxiang_Bus Station,30,analytical_peak_hour_mms,p_wait_gt_15min,0.20191949078293484,5.3112621777489536e-17,Exact for M/M/s at the peak-hour arrival rate; still not a full-day NHPP simulation estimate.
