station,n_chargers,faults,mean_utilization_mean,mean_utilization_std,mean_utilization_ci95,mean_wait_mean,mean_wait_std,mean_wait_ci95,median_wait_mean,median_wait_std,median_wait_ci95,p95_wait_mean,p95_wait_std,p95_wait_ci95,p_wait_gt_10min_mean,p_wait_gt_10min_std,p_wait_gt_10min_ci95,p_wait_gt_15min_mean,p_wait_gt_15min_std,p_wait_gt_15min_ci95,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_ci95,n_sessions_mean,n_sessions_std,n_sessions_ci95,fault_fraction_mean,fault_fraction_std,fault_fraction_ci95,p_wait_gt_15min_upper95
Nanhu_Technology Park,12,on,0.15102882390648406,0.007476334504526122,0.0020933736612673143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,14,on,0.12945327763412925,0.006408286718165242,0.0017943202810862674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,16,on,0.11327161792986307,0.005607250878394575,0.0015700302459504812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,18,on,0.1006858826043227,0.004984223003017399,0.0013955824408448717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,20,on,0.09061729434389049,0.004485800702715674,0.0012560241967603885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,22,on,0.08237935849444586,0.004078000638832416,0.0011418401788730762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,24,on,0.07551441195324203,0.003738167252263061,0.0010466868306336571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,26,on,0.06970561103376186,0.0034506159251658838,0.0009661724590464474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,28,on,0.06472663881706463,0.003204143359082621,0.0008971601405431337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Nanhu_Technology Park,30,on,0.060411529562593644,0.0029905338018104423,0.000837349464506924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6429444444444443,0.0475785899562211,0.013322005187741907,1183.32,34.18153887700201,9.570830885560563,0.15584429416489665,0.010407951115796671,0.0029142263124230677,0.0
Xiuzhou_Government Agency,2,on,0.9997155483952314,0.001991161233380234,0.0005575251453464656,5659.317961917756,1295.2115948925655,362.65924656991825,5219.572461719456,1291.8591802344374,361.7205704656424,11498.144843279675,2482.921183602955,695.2179314088273,0.9994958087170037,0.003422197686888159,0.0009582153523286845,0.999339161166784,0.004311343590820932,0.0012071762054298607,1.7048888888888891,0.08876998992402281,0.024855597178726384,1227.68,63.95324542194868,17.906908718145633,0.13307845418294006,0.009604559066813161,0.002689276538707685,1.0005463373722139
Xiuzhou_Government Agency,4,on,0.610322832338811,0.027882929750604957,0.007807220330169388,36.714102415873924,10.069470577696505,2.8194517617550208,2.543396567706495,3.532170301039546,0.9890076842910727,178.33074742625158,49.335514603548965,13.81394408899371,0.4280032905911875,0.0427955767692177,0.011982761495380955,0.39250292627827965,0.04379494166621152,0.012262583666539225,2.0782222222222217,0.050275813344066424,0.014077227736338599,1496.98,35.960806442570224,10.06902580391966,0.16873041078910483,0.009437574751807537,0.00264252093050611,0.40476550994481886
