station,n_chargers,activation_mode,faults,replication,mean_utilization,mean_utilization_static,mean_wait,p_wait_gt_15min,active_charger_hours,scheduled_charger_hours,n_sessions,fault_fraction,throughput_per_hour,drain_cap_hit
Xiuzhou_Expressway Service District A,2,full,ON,28,0.49443544900139286,0.49443544900139286,37.46277912001289,0.4606918238993711,1440.0,1440.0,636,0.17452830188679244,0.8833333333333333,False
Xiuzhou_Expressway Service District A,2,full,ON,29,0.4915821375838991,0.4915821375838991,62.541579448463054,0.392914653784219,1440.0,1440.0,621,0.1723027375201288,0.8625,False
Xiuzhou_Expressway Service District A,2,full,ON,30,0.42384536134297224,0.42384536134297224,45.860956558865965,0.3737704918032787,1440.0,1440.0,610,0.13114754098360656,0.8472222222222222,False
Xiuzhou_Expressway Service District A,2,full,ON,31,0.49351024751965933,0.49351024751965933,28.588229027447653,0.3866231647634584,1440.0,1440.0,613,0.15171288743882544,0.85,False
Xiuzhou_Expressway Service District A,2,full,ON,32,0.4942494975708388,0.4942494975708388,46.88992112261116,0.4878836833602585,1440.0,1440.0,619,0.1567043618739903,0.8597222222222223,False
Xiuzhou_Expressway Service District A,2,full,ON,33,0.4911173289932015,0.4911173289932015,42.55155991199757,0.39553429027113235,1440.0,1440.0,627,0.18022328548644337,0.8694444444444445,False
Xiuzhou_Expressway Service District A,2,full,ON,34,0.49955059032231036,0.49955059032231036,51.16950890019653,0.4844517184942717,1440.0,1440.0,611,0.176759410801964,0.8472222222222222,False
Xiuzhou_Expressway Service District A,2,full,ON,35,0.48571966573822994,0.48571966573822994,40.90214036161267,0.40728476821192056,1440.0,1440.0,604,0.18543046357615894,0.8388888888888889,False
Xiuzhou_Expressway Service District A,2,full,ON,36,0.4893363576439087,0.4893363576439087,48.87103076454368,0.42521008403361343,1440.0,1440.0,595,0.14285714285714285,0.8263888888888888,False
Xiuzhou_Expressway Service District A,2,full,ON,37,0.47497157222278086,0.47497157222278086,42.04000474007823,0.37796610169491524,1440.0,1440.0,590,0.18135593220338983,0.8180555555555555,False
Xiuzhou_Expressway Service District A,2,full,ON,38,0.48439516670691923,0.48439516670691923,40.22990727412854,0.41914191419141916,1440.0,1440.0,606,0.19636963696369636,0.8416666666666667,False
Xiuzhou_Expressway Service District A,2,full,ON,39,0.4941311161913753,0.4941311161913753,44.98030173309447,0.3903225806451613,1440.0,1440.0,620,0.1435483870967742,0.8597222222222223,False
Xiuzhou_Expressway Service District A,2,full,ON,40,0.45356442526003815,0.45356442526003815,36.90580822177124,0.3656093489148581,1440.0,1440.0,599,0.16026711185308848,0.8319444444444445,False
Xiuzhou_Expressway Service District A,2,full,ON,41,0.4977812492668943,0.4977812492668943,50.60815081892302,0.40166666666666667,1440.0,1440.0,600,0.17333333333333334,0.8333333333333334,False
Xiuzhou_Expressway Service District A,2,full,ON,42,0.48660231720363645,0.48660231720363645,53.101879990380155,0.38161993769470404,1440.0,1440.0,642,0.16978193146417445,0.8916666666666667,False
Xiuzhou_Expressway Service District A,2,full,ON,43,0.4702409093897231,0.4702409093897231,46.33801276572883,0.4207920792079208,1440.0,1440.0,606,0.19636963696369636,0.8416666666666667,False
Xiuzhou_Expressway Service District A,2,full,ON,44,0.48269735609688175,0.48269735609688175,50.36814743033203,0.44264943457189015,1440.0,1440.0,619,0.1777059773828756,0.8597222222222223,False
Xiuzhou_Expressway Service District A,2,full,ON,45,0.43664394079936597,0.43664394079936597,27.544948349364933,0.30905861456483125,1440.0,1440.0,563,0.1669626998223801,0.7819444444444444,False
Xiuzhou_Expressway Service District A,2,full,ON,46,0.46442133548467973,0.46442133548467973,52.85067161424725,0.42601626016260163,1440.0,1440.0,615,0.17560975609756097,0.8541666666666666,False
Xiuzhou_Expressway Service District A,2,full,ON,47,0.5220740751283885,0.5220740751283885,67.81609035631655,0.45145631067961167,1440.0,1440.0,618,0.1796116504854369,0.8583333333333333,False
Xiuzhou_Expressway Service District A,2,full,ON,48,0.5518091015048996,0.5518091015048996,65.29201799056524,0.46204620462046203,1440.0,1440.0,606,0.16006600660066006,0.8402777777777778,False
Xiuzhou_Expressway Service District A,2,full,ON,49,0.4698231670867295,0.4698231670867295,51.103365664539666,0.4372093023255814,1440.0,1440.0,645,0.15348837209302327,0.8958333333333334,False
Xiuzhou_Expressway Service District A,4,full,ON,0,0.24678446715208063,0.24678446715208063,1.2752823103372544,0.027243589743589744,2880.0,2880.0,624,0.16025641025641027,0.8666666666666667,False
Xiuzhou_Expressway Service District A,4,full,ON,1,0.2516884871657898,0.2516884871657898,1.6027381982393276,0.032915360501567396,2880.0,2880.0,638,0.1677115987460815,0.8861111111111111,False
Xiuzhou_Expressway Service District A,4,full,ON,2,0.23943812507456314,0.23943812507456314,1.2072402932325674,0.03198653198653199,2880.0,2880.0,594,0.18518518518518517,0.825,False
Xiuzhou_Expressway Service District A,4,full,ON,3,0.2532497303239898,0.2532497303239898,2.8867682835585806,0.04889589905362776,2880.0,2880.0,634,0.15772870662460567,0.8805555555555555,False
