station,n_chargers,activation_mode,faults,n_reps_clean,n_reps_drain_hit,mean_utilization_mean,mean_utilization_std,mean_utilization_ci95,mean_utilization_static_mean,mean_utilization_static_std,mean_utilization_static_ci95,mean_wait_mean,mean_wait_std,mean_wait_ci95,p_wait_gt_15min_mean,p_wait_gt_15min_std,p_wait_gt_15min_ci95,active_charger_hours_mean,active_charger_hours_std,active_charger_hours_ci95,scheduled_charger_hours_mean,scheduled_charger_hours_std,scheduled_charger_hours_ci95,n_sessions_mean,n_sessions_std,n_sessions_ci95,fault_fraction_mean,fault_fraction_std,fault_fraction_ci95,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_ci95,p_wait_gt_10min_mean,p_wait_gt_10min_std,p_wait_gt_10min_ci95,median_wait_mean,median_wait_std,median_wait_ci95,p95_wait_mean,p95_wait_std,p95_wait_ci95,p_wait_gt_15min_upper95
Xiuzhou_Expressway Service District A,20,heuristic_historical,OFF,50,0,0.2560945622614867,0.01751687213300643,0.004855429235607191,0.042695599583973266,0.002927622509852614,0.0008114955579526961,1.0090191967975024,0.7286347367226149,0.20196724483109718,0.01697691372121932,0.009397772063766675,0.002604929514899285,2400.714022954997,0.7480300266019656,0.20734334490183012,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.008245139719110547,0.02156213869387682,0.010308193117205674,0.002857285355942998,0.0,0.0,0.0,0.5635771634833309,2.566205628633271,0.7113159095548637,0.019581843236118605
Xiuzhou_Expressway Service District A,22,heuristic_historical,OFF,50,0,0.2560945622614867,0.01751687213300643,0.004855429235607191,0.038814181439975705,0.0026614750089569215,0.0007377232345024508,1.0090191967975024,0.7286347367226149,0.20196724483109718,0.01697691372121932,0.009397772063766675,0.002604929514899285,2400.714022954997,0.7480300266019656,0.20734334490183012,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.008245139719110547,0.02156213869387682,0.010308193117205674,0.002857285355942998,0.0,0.0,0.0,0.5635771634833309,2.566205628633271,0.7113159095548637,0.019581843236118605
Xiuzhou_Expressway Service District A,24,heuristic_historical,OFF,50,0,0.2560945622614867,0.01751687213300643,0.004855429235607191,0.03557966631997772,0.0024396854248771786,0.0006762462982939134,1.0090191967975024,0.7286347367226149,0.20196724483109718,0.01697691372121932,0.009397772063766675,0.002604929514899285,2400.714022954997,0.7480300266019656,0.20734334490183012,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.008245139719110547,0.02156213869387682,0.010308193117205674,0.002857285355942998,0.0,0.0,0.0,0.5635771634833309,2.566205628633271,0.7113159095548637,0.019581843236118605
Xiuzhou_Expressway Service District A,26,heuristic_historical,OFF,50,0,0.2560945622614867,0.01751687213300643,0.004855429235607191,0.03284276891074867,0.0022520173152712417,0.0006242273522713047,1.0090191967975024,0.7286347367226149,0.20196724483109718,0.01697691372121932,0.009397772063766675,0.002604929514899285,2400.714022954997,0.7480300266019656,0.20734334490183012,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.008245139719110547,0.02156213869387682,0.010308193117205674,0.002857285355942998,0.0,0.0,0.0,0.5635771634833309,2.566205628633271,0.7113159095548637,0.019581843236118605
Xiuzhou_Expressway Service District A,28,heuristic_historical,OFF,50,0,0.2560945622614867,0.01751687213300643,0.004855429235607191,0.03049685684569519,0.00209115893560901,0.0005796396842519257,1.0090191967975024,0.7286347367226149,0.20196724483109718,0.01697691372121932,0.009397772063766675,0.002604929514899285,2400.714022954997,0.7480300266019656,0.20734334490183012,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.008245139719110547,0.02156213869387682,0.010308193117205674,0.002857285355942998,0.0,0.0,0.0,0.5635771634833309,2.566205628633271,0.7113159095548637,0.019581843236118605
Xiuzhou_Expressway Service District A,30,heuristic_historical,OFF,50,0,0.2560945622614867,0.01751687213300643,0.004855429235607191,0.028463733055982172,0.0019517483399017423,0.0005409970386351306,1.0090191967975024,0.7286347367226149,0.20196724483109718,0.01697691372121932,0.009397772063766675,0.002604929514899285,2400.714022954997,0.7480300266019656,0.20734334490183012,2400.0,0.0,0.0,616.52,21.417039944866332,5.936500597759593,0.0,0.0,0.0,0.8562777777777779,0.029745888812314356,0.008245139719110547,0.02156213869387682,0.010308193117205674,0.002857285355942998,0.0,0.0,0.0,0.5635771634833309,2.566205628633271,0.7113159095548637,0.019581843236118605
Xiuzhou_Expressway Service District A,2,heuristic_recentQ,ON,38,12,0.9474573057439762,0.03253220291143166,0.010343743570061278,0.9474573057439762,0.03253220291143166,0.010343743570061278,777.0377598514607,436.0409786122089,138.6409669545731,0.9397076637288887,0.03497760814136725,0.011121269908877148,1440.0,0.0,0.0,1440.0,0.0,0.0,1180.3684210526317,28.970421442560284,9.21126095685172,0.16811324233368644,0.010390780672845053,0.0033037901265176913,1.6385964912280702,0.04051547864435007,0.012882057906019876,0.9450682449639733,0.032395626636183096,0.010300318599032684,644.7095255901756,396.5915267332835,126.09785650718044,1902.3230349376088,942.0513161969511,299.52897045148654,0.9508289336377659
Xiuzhou_Expressway Service District A,4,heuristic_recentQ,ON,50,0,0.553092464098217,0.02523762363298301,0.006995512366271133,0.484630958114985,0.022296896710678877,0.006180384450506527,24.43542054625444,7.4607785727601605,2.0680223117181606,0.27766293622802757,0.03807868250434048,0.010554872290047729,2523.474518544866,1.756512615982745,0.4868804569444395,2520.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.31020588778716635,0.0381151292068062,0.010564974800550166,0.0,0.0,0.0,131.4211329576248,39.86514821183883,11.050055320370417,0.2882178085180753
Xiuzhou_Expressway Service District A,6,heuristic_recentQ,ON,50,0,0.434379861587616,0.01998462308828794,0.005539454902032773,0.3232032028808421,0.014981655058891298,0.004152702915131594,4.060272027844821,2.266456709344695,0.6282297481098056,0.05972915179303739,0.01933929471285434,0.005360579002451185,3214.277177221051,2.0120954409442975,0.5577244016290097,3210.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.07435794079565587,0.021117071021590873,0.005853353454320617,0.0,0.0,0.0,20.482877735864122,10.224092173453448,2.8339737636714943,0.06508973079548858
Xiuzhou_Expressway Service District A,8,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.2423994740781377,0.01123651810652392,0.003114603914819008,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,10,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.19391957926251022,0.008989214485219138,0.0024916831318552066,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,12,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.16159964938542515,0.007491012071015951,0.0020764026098793395,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,14,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.13851398518750727,0.006420867489442242,0.001779773665610862,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,16,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.12119973703906885,0.00561825905326196,0.001557301957409504,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,18,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.10773309959028342,0.004994008047343966,0.001384268406586226,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,20,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.09695978963125511,0.004494607242609569,0.0012458415659276033,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,22,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.08814526330114099,0.004086006584190516,0.0011325832417523663,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,24,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.08079982469271257,0.0037455060355079755,0.0010382013049396698,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
Xiuzhou_Expressway Service District A,26,heuristic_recentQ,ON,50,0,0.4187277718127195,0.019255187171847297,0.005337265581513942,0.07458445356250391,0.0034573901866227445,0.000958339666098156,3.2258994373597165,2.0422884767376126,0.5660934841678017,0.04307837835850422,0.01506482365936677,0.00417575607503177,3334.383861375864,2.1713095097332484,0.6018562899277894,3330.0,0.0,0.0,1183.72,27.0244629918894,7.490798967480036,0.1694804483301448,0.010409766022199706,0.002885439928786188,1.6433888888888888,0.03781815652517931,0.010482658172923999,0.054003562728468874,0.016522566999568396,0.004579821913857521,0.0,0.0,0.0,12.32629259814967,7.162159371951209,1.9852492922594298,0.04725413443353599
