station,sizing_scenario,dominant_type,peak_lambda_per_hour,mu_per_min,cv,cv_source,service_param_scope,station_mix_json,mix_coverage,rho_total,s,p_wait_zero_mms,p_wait_mms,p_wait_mgs,mean_wait_mms_min,mean_wait_mgs_min,probability_metric
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,11,2.557829656192992e-06,2.67555862030347e-07,5.885707188574712e-07,1.6994898367323312e-05,2.6114207099206705e-05,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,12,3.690235739537586e-07,3.023441376376849e-08,7.243278368972845e-08,2.2124779047365357e-06,3.3996735348414258e-06,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,13,4.9272955644248756e-08,3.161991114160206e-09,8.249805529169148e-09,2.6913607322599626e-07,4.135520555747741e-07,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,14,6.1214100216495854e-09,3.0768625116267844e-10,8.742599798103266e-10,3.0704617654622197e-08,4.7180437741037805e-08,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,15,7.109148280143418e-10,2.7988445766599106e-11,8.660854297964987e-11,3.2966030231205357e-09,5.065530384998673e-09,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,16,7.750050529104299e-11,2.389848292976877e-12,8.053816407484049e-12,3.3414468115745404e-10,5.134436944690288e-10,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,17,7.959932998069274e-12,1.9225595484467946e-13,7.056033513674993e-13,3.206764074200542e-11,4.927484668751105e-11,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,18,7.727854853147897e-13,1.4619547610467453e-14,5.843381088309031e-14,2.9215796960888045e-12,4.489272933058252e-12,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,19,7.112699785590516e-14,1.0539355289116525e-15,4.587686830494015e-15,2.5330514127726653e-13,3.892263887454002e-13,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,20,6.222893251356249e-15,7.222316348255981e-17,3.423778561753622e-16,2.0946722023367734e-14,3.218654358177797e-14,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,21,5.187773239304898e-16,4.715955843547615e-18,2.434716131220202e-17,1.6554880499192238e-15,2.543807962333901e-15,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,22,4.13004663875506e-17,2.9406835409418903e-19,1.653393919225754e-18,1.252841139660722e-16,1.9251043622839356e-16,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,23,3.146203742851824e-18,1.7546268367196298e-20,1.0743907359741604e-19,9.09463302623759e-18,1.3974730840115017e-17,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,24,2.2976146582084608e-19,1.0036440326068914e-21,6.692781338416477e-21,6.343025154510255e-19,9.746635074843764e-19,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,25,1.6112501324610993e-20,5.512772479779666e-23,4.003560913032911e-22,4.256787191811558e-20,6.540940692999603e-20,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,26,1.0867376973602268e-21,2.912302107623256e-24,2.3033622153265886e-23,2.752632280711143e-21,4.229669862849199e-21,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,27,7.059807154392227e-23,1.4818666340534259e-25,1.2763928874163292e-24,1.7173565708617055e-22,2.638874571965415e-22,p_wait_gt_15min
