station,hour,lambda_mean,lambda_std,lambda_ci_low,lambda_ci_high,n_days
Nanhu_Financial Industrial Park,20,0.4371584699453552,1.0062114134243625,0.3633879781420765,0.5068989071038251,732
Nanhu_Financial Industrial Park,21,0.4262295081967213,1.120030531049214,0.35225409836065574,0.5260245901639344,732
Nanhu_Financial Industrial Park,22,0.662568306010929,1.4092009415088824,0.5744193989071038,0.7827868852459017,732
Nanhu_Financial Industrial Park,23,0.5273224043715847,1.2191212281655346,0.4487363387978142,0.6175546448087431,732
Nanhu_Technology Park,0,1.2336065573770492,1.407937863307073,1.1406420765027323,1.3231215846994535,732
Nanhu_Technology Park,1,0.8087431693989071,1.1250317178783666,0.7274248633879782,0.8969603825136612,732
Nanhu_Technology Park,2,0.46994535519125685,0.8206790403666574,0.41048497267759565,0.5266734972677596,732
Nanhu_Technology Park,3,0.4726775956284153,0.8740471081981879,0.41939890710382516,0.5321379781420765,732
Nanhu_Technology Park,4,0.34562841530054644,0.7824651589285111,0.29436475409836066,0.4098360655737705,732
Nanhu_Technology Park,5,0.3825136612021858,0.6828925511932481,0.3360655737704918,0.43377732240437156,732
Nanhu_Technology Park,6,0.4685792349726776,0.8420200146478347,0.41386612021857927,0.5335040983606557,732
Nanhu_Technology Park,7,0.6311475409836066,0.9212566776022721,0.569603825136612,0.7001707650273223,732
Nanhu_Technology Park,8,0.8210382513661202,1.169350966945916,0.744535519125683,0.9119193989071038,732
Nanhu_Technology Park,9,1.5519125683060109,1.6766797210588802,1.4315573770491803,1.6721994535519125,732
Nanhu_Technology Park,10,1.9972677595628416,1.7707126930144919,1.8825136612021858,2.1291325136612023,732
Nanhu_Technology Park,11,2.4030054644808745,1.9731832066836472,2.271857923497268,2.5273224043715845,732
Nanhu_Technology Park,12,2.523224043715847,2.0049887136344213,2.3776297814207648,2.649624316939891,732
Nanhu_Technology Park,13,2.5560109289617485,2.0615374019223416,2.42004781420765,2.694842896174863,732
Nanhu_Technology Park,14,2.6325136612021858,2.0870738176202948,2.482172131147541,2.7945696721311473,732
Nanhu_Technology Park,15,2.7773224043715845,2.3300521508910883,2.633879781420765,2.9269467213114755,732
Nanhu_Technology Park,16,2.4248633879781423,2.0186773196443526,2.2989754098360655,2.5594603825136613,732
Nanhu_Technology Park,17,1.8784153005464481,1.8456807869649594,1.736987704918033,1.9918715846994535,732
Nanhu_Technology Park,18,1.8811475409836065,1.7771385398911885,1.7505806010928961,2.0158128415300545,732
Nanhu_Technology Park,19,2.4754098360655736,2.0832723709618737,2.3079576502732237,2.6291325136612023,732
Nanhu_Technology Park,20,1.8920765027322404,1.891182666806209,1.7643101092896174,2.0405396174863384,732
Nanhu_Technology Park,21,2.3360655737704916,1.9915443240359494,2.181693989071038,2.5037226775956283,732
Nanhu_Technology Park,22,2.4836065573770494,1.949009106226529,2.354986338797814,2.610792349726776,732
Nanhu_Technology Park,23,1.989071038251366,1.7590541888382827,1.8654030054644808,2.112739071038251,732
Nanhu_Tourist Attraction,0,1.4672131147540983,2.4899835222025226,1.3023565573770493,1.6566598360655735,732
Nanhu_Tourist Attraction,1,1.075136612021858,2.3983770978746954,0.9171106557377049,1.2418715846994535,732
Nanhu_Tourist Attraction,2,0.7527322404371585,1.8360445408850283,0.6202185792349727,0.8917691256830598,732
Nanhu_Tourist Attraction,3,0.5614754098360656,1.4335407679788614,0.4603825136612022,0.6668032786885244,732
Nanhu_Tourist Attraction,4,0.47540983606557374,1.3131750440720793,0.3817964480874317,0.5806693989071038,732
Nanhu_Tourist Attraction,5,0.5915300546448088,1.4271490557317612,0.475922131147541,0.7131830601092896,732
Nanhu_Tourist Attraction,6,0.9890710382513661,2.2246943159284216,0.8237704918032787,1.1543715846994536,732
Nanhu_Tourist Attraction,7,0.6707650273224044,1.5076886267820377,0.5627732240437159,0.7822062841530054,732
Nanhu_Tourist Attraction,8,0.4972677595628415,0.9523493418047883,0.43364071038251367,0.5704576502732239,732
Nanhu_Tourist Attraction,9,0.9180327868852459,1.6135040452335745,0.8066598360655738,1.0389685792349728,732
Nanhu_Tourist Attraction,10,1.1830601092896176,1.8034280873999304,1.0511953551912567,1.3033469945355192,732
Nanhu_Tourist Attraction,11,2.7882513661202184,4.02287898789279,2.54573087431694,3.047814207650273,732
Nanhu_Tourist Attraction,12,2.771857923497268,3.221613965607634,2.568954918032787,3.0196038251366115,732
Nanhu_Tourist Attraction,13,1.7431693989071038,2.294260920127257,1.5880122950819673,1.8826502732240438,732
Nanhu_Tourist Attraction,14,1.8702185792349726,2.1688854220648874,1.7191598360655738,2.03422131147541,732
Nanhu_Tourist Attraction,15,1.7827868852459017,2.4384244859482154,1.6126707650273224,1.971311475409836,732
Nanhu_Tourist Attraction,16,1.280054644808743,1.5837706301022778,1.18025956284153,1.3853142076502731,732
Nanhu_Tourist Attraction,17,1.0683060109289617,1.3989368151059425,0.9637636612021858,1.163285519125683,732
Nanhu_Tourist Attraction,18,1.3333333333333333,1.6419045140313533,1.2185792349726776,1.454337431693989,732
Nanhu_Tourist Attraction,19,1.4453551912568305,1.8001421921532417,1.3099043715846994,1.5683060109289617,732
Nanhu_Tourist Attraction,20,1.151639344262295,1.6341800710131131,1.0313524590163934,1.2596311475409836,732
Nanhu_Tourist Attraction,21,1.2281420765027322,1.8024532124495845,1.1010928961748634,1.3499316939890709,732
Nanhu_Tourist Attraction,22,2.6065573770491803,3.9626658047174637,2.329678961748634,2.9095286885245897,732
Nanhu_Tourist Attraction,23,2.069672131147541,3.0078435361188913,1.8695013661202187,2.309289617486338,732
Tongxiang_Bus Station,0,2.1475409836065573,1.8953704032421497,2.019637978142076,2.2671106557377048,732
Tongxiang_Bus Station,1,1.2718579234972678,1.3654422940238908,1.1658128415300546,1.355976775956284,732
Tongxiang_Bus Station,2,1.1092896174863387,1.3311262784142393,1.0150273224043715,1.2077185792349727,732
Tongxiang_Bus Station,3,0.9904371584699454,1.2558661587251403,0.9002732240437158,1.0717554644808742,732
Tongxiang_Bus Station,4,0.8101092896174863,1.1270855065457244,0.7210382513661202,0.8770491803278688,732
Tongxiang_Bus Station,5,0.7431693989071039,1.222070100708579,0.6550204918032787,0.8265710382513661,732
