station,quarter,hour,lambda_mean,n_days
Nanhu_Financial Industrial Park,2020Q1,12,0.2967032967032967,91
Nanhu_Financial Industrial Park,2020Q1,13,0.6703296703296703,91
Nanhu_Financial Industrial Park,2020Q1,14,0.5714285714285714,91
Nanhu_Financial Industrial Park,2020Q1,15,0.8241758241758241,91
Nanhu_Financial Industrial Park,2020Q1,16,0.3626373626373626,91
Nanhu_Financial Industrial Park,2020Q1,17,0.18681318681318682,91
Nanhu_Financial Industrial Park,2020Q1,18,0.06593406593406594,91
Nanhu_Financial Industrial Park,2020Q1,19,0.2087912087912088,91
Nanhu_Financial Industrial Park,2020Q1,20,0.06593406593406594,91
Nanhu_Financial Industrial Park,2020Q1,21,0.0989010989010989,91
Nanhu_Financial Industrial Park,2020Q1,22,0.04395604395604396,91
Nanhu_Financial Industrial Park,2020Q1,23,0.02197802197802198,91
Nanhu_Financial Industrial Park,2020Q2,0,0.3076923076923077,91
Nanhu_Financial Industrial Park,2020Q2,1,0.25274725274725274,91
Nanhu_Financial Industrial Park,2020Q2,2,0.06593406593406594,91
Nanhu_Financial Industrial Park,2020Q2,3,0.06593406593406594,91
Nanhu_Financial Industrial Park,2020Q2,4,0.06593406593406594,91
Nanhu_Financial Industrial Park,2020Q2,5,0.16483516483516483,91
Nanhu_Financial Industrial Park,2020Q2,6,0.3956043956043956,91
Nanhu_Financial Industrial Park,2020Q2,7,0.3626373626373626,91
Nanhu_Financial Industrial Park,2020Q2,8,0.6703296703296703,91
Nanhu_Financial Industrial Park,2020Q2,9,1.1538461538461537,91
Nanhu_Financial Industrial Park,2020Q2,10,2.3626373626373627,91
Nanhu_Financial Industrial Park,2020Q2,11,3.6923076923076925,91
Nanhu_Financial Industrial Park,2020Q2,12,3.131868131868132,91
Nanhu_Financial Industrial Park,2020Q2,13,3.1868131868131866,91
Nanhu_Financial Industrial Park,2020Q2,14,3.4615384615384617,91
Nanhu_Financial Industrial Park,2020Q2,15,3.802197802197802,91
Nanhu_Financial Industrial Park,2020Q2,16,2.5714285714285716,91
Nanhu_Financial Industrial Park,2020Q2,17,1.989010989010989,91
Nanhu_Financial Industrial Park,2020Q2,18,0.8901098901098901,91
Nanhu_Financial Industrial Park,2020Q2,19,1.0769230769230769,91
Nanhu_Financial Industrial Park,2020Q2,20,0.8901098901098901,91
Nanhu_Financial Industrial Park,2020Q2,21,0.4725274725274725,91
Nanhu_Financial Industrial Park,2020Q2,22,1.3186813186813187,91
Nanhu_Financial Industrial Park,2020Q2,23,0.7252747252747253,91
Nanhu_Financial Industrial Park,2020Q3,0,1.576086956521739,92
Nanhu_Financial Industrial Park,2020Q3,1,0.717391304347826,92
Nanhu_Financial Industrial Park,2020Q3,2,0.34782608695652173,92
Nanhu_Financial Industrial Park,2020Q3,3,0.2717391304347826,92
Nanhu_Financial Industrial Park,2020Q3,4,0.13043478260869565,92
Nanhu_Financial Industrial Park,2020Q3,5,0.5652173913043478,92
Nanhu_Financial Industrial Park,2020Q3,6,1.141304347826087,92
Nanhu_Financial Industrial Park,2020Q3,7,0.6413043478260869,92
Nanhu_Financial Industrial Park,2020Q3,8,0.5217391304347826,92
Nanhu_Financial Industrial Park,2020Q3,9,1.4456521739130435,92
Nanhu_Financial Industrial Park,2020Q3,10,2.380434782608696,92
Nanhu_Financial Industrial Park,2020Q3,11,7.076086956521739,92
Nanhu_Financial Industrial Park,2020Q3,12,5.456521739130435,92
Nanhu_Financial Industrial Park,2020Q3,13,4.130434782608695,92
Nanhu_Financial Industrial Park,2020Q3,14,3.9782608695652173,92
Nanhu_Financial Industrial Park,2020Q3,15,3.510869565217391,92
Nanhu_Financial Industrial Park,2020Q3,16,2.597826086956522,92
Nanhu_Financial Industrial Park,2020Q3,17,1.608695652173913,92
Nanhu_Financial Industrial Park,2020Q3,18,1.2282608695652173,92
Nanhu_Financial Industrial Park,2020Q3,19,1.326086956521739,92
Nanhu_Financial Industrial Park,2020Q3,20,1.184782608695652,92
Nanhu_Financial Industrial Park,2020Q3,21,1.326086956521739,92
Nanhu_Financial Industrial Park,2020Q3,22,2.282608695652174,92
Nanhu_Financial Industrial Park,2020Q3,23,2.239130434782609,92
Nanhu_Financial Industrial Park,2020Q4,0,0.8152173913043478,92
Nanhu_Financial Industrial Park,2020Q4,1,0.6086956521739131,92
Nanhu_Financial Industrial Park,2020Q4,2,0.40217391304347827,92
Nanhu_Financial Industrial Park,2020Q4,3,0.22826086956521738,92
Nanhu_Financial Industrial Park,2020Q4,4,0.16304347826086957,92
Nanhu_Financial Industrial Park,2020Q4,5,0.15217391304347827,92
Nanhu_Financial Industrial Park,2020Q4,6,0.6086956521739131,92
Nanhu_Financial Industrial Park,2020Q4,7,0.2608695652173913,92
Nanhu_Financial Industrial Park,2020Q4,8,0.5217391304347826,92
Nanhu_Financial Industrial Park,2020Q4,9,1.1195652173913044,92
Nanhu_Financial Industrial Park,2020Q4,10,1.7934782608695652,92
Nanhu_Financial Industrial Park,2020Q4,11,4.586956521739131,92
Nanhu_Financial Industrial Park,2020Q4,12,4.369565217391305,92
