station,quarter,hour,lambda_mean,n_days
Nanhu_Technology Park,2021Q2,9,1.6923076923076923,91
Nanhu_Technology Park,2021Q2,10,1.8241758241758241,91
Nanhu_Technology Park,2021Q2,11,2.4835164835164836,91
Nanhu_Technology Park,2021Q2,12,2.318681318681319,91
Nanhu_Technology Park,2021Q2,13,2.5714285714285716,91
Nanhu_Technology Park,2021Q2,14,2.967032967032967,91
Nanhu_Technology Park,2021Q2,15,2.923076923076923,91
Nanhu_Technology Park,2021Q2,16,2.8351648351648353,91
Nanhu_Technology Park,2021Q2,17,1.8241758241758241,91
Nanhu_Technology Park,2021Q2,18,2.230769230769231,91
Nanhu_Technology Park,2021Q2,19,2.32967032967033,91
Nanhu_Technology Park,2021Q2,20,2.230769230769231,91
Nanhu_Technology Park,2021Q2,21,2.6043956043956045,91
Nanhu_Technology Park,2021Q2,22,2.3956043956043955,91
Nanhu_Technology Park,2021Q2,23,2.043956043956044,91
Nanhu_Technology Park,2021Q3,0,1.0326086956521738,92
Nanhu_Technology Park,2021Q3,1,0.8478260869565217,92
Nanhu_Technology Park,2021Q3,2,0.7391304347826086,92
Nanhu_Technology Park,2021Q3,3,0.6195652173913043,92
Nanhu_Technology Park,2021Q3,4,0.30434782608695654,92
Nanhu_Technology Park,2021Q3,5,0.45652173913043476,92
Nanhu_Technology Park,2021Q3,6,0.6413043478260869,92
Nanhu_Technology Park,2021Q3,7,0.8369565217391305,92
Nanhu_Technology Park,2021Q3,8,1.0978260869565217,92
Nanhu_Technology Park,2021Q3,9,1.9130434782608696,92
Nanhu_Technology Park,2021Q3,10,2.2282608695652173,92
Nanhu_Technology Park,2021Q3,11,2.5652173913043477,92
Nanhu_Technology Park,2021Q3,12,2.630434782608696,92
Nanhu_Technology Park,2021Q3,13,2.880434782608696,92
Nanhu_Technology Park,2021Q3,14,3.0217391304347827,92
Nanhu_Technology Park,2021Q3,15,3.282608695652174,92
Nanhu_Technology Park,2021Q3,16,2.902173913043478,92
Nanhu_Technology Park,2021Q3,17,2.391304347826087,92
Nanhu_Technology Park,2021Q3,18,2.641304347826087,92
Nanhu_Technology Park,2021Q3,19,3.3369565217391304,92
Nanhu_Technology Park,2021Q3,20,2.347826086956522,92
Nanhu_Technology Park,2021Q3,21,2.6630434782608696,92
Nanhu_Technology Park,2021Q3,22,2.630434782608696,92
Nanhu_Technology Park,2021Q3,23,2.0,92
Nanhu_Technology Park,2021Q4,0,0.0,92
Nanhu_Technology Park,2021Q4,1,0.0,92
Nanhu_Technology Park,2021Q4,2,0.0,92
Nanhu_Technology Park,2021Q4,3,0.0,92
Nanhu_Technology Park,2021Q4,4,0.0,92
Nanhu_Technology Park,2021Q4,5,0.0,92
Nanhu_Technology Park,2021Q4,6,0.0,92
Nanhu_Technology Park,2021Q4,7,0.0,92
Nanhu_Technology Park,2021Q4,8,0.0,92
Nanhu_Technology Park,2021Q4,9,0.0,92
Nanhu_Technology Park,2021Q4,10,0.0,92
Nanhu_Technology Park,2021Q4,11,0.0,92
Nanhu_Technology Park,2021Q4,12,0.0,92
Nanhu_Technology Park,2021Q4,13,0.0,92
Nanhu_Technology Park,2021Q4,14,0.0,92
Nanhu_Technology Park,2021Q4,15,0.0,92
Nanhu_Technology Park,2021Q4,16,0.0,92
Nanhu_Technology Park,2021Q4,17,0.0,92
Nanhu_Technology Park,2021Q4,18,0.0,92
Nanhu_Technology Park,2021Q4,19,0.0,92
Nanhu_Technology Park,2021Q4,20,0.0,92
Nanhu_Technology Park,2021Q4,21,0.0,92
Nanhu_Technology Park,2021Q4,22,0.0,92
Nanhu_Technology Park,2021Q4,23,0.0,92
Nanhu_Tourist Attraction,2019Q4,0,0.0,1
Nanhu_Tourist Attraction,2019Q4,1,0.0,1
Nanhu_Tourist Attraction,2019Q4,2,0.0,1
Nanhu_Tourist Attraction,2019Q4,3,0.0,1
Nanhu_Tourist Attraction,2019Q4,4,0.0,1
Nanhu_Tourist Attraction,2019Q4,5,0.0,1
Nanhu_Tourist Attraction,2019Q4,6,0.0,1
Nanhu_Tourist Attraction,2019Q4,7,0.0,1
